date_year,AHRC,BBSRC,EPSRC,ESRC,MRC,NERC,STFC
2000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2001,0.0,0.0,1.0,1.0,1.0,0.0,0.0
2002,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2003,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2004,0.0,1.0,0.0,2.0,2.0,0.0,0.0
2005,0.0,0.0,1.0,3.0,1.0,0.0,0.0
2006,0.0,1.0,2.0,3.0,1.0,0.0,0.0
2007,0.0,1.0,8.0,2.0,3.0,0.0,0.0
2008,1.0,2.0,17.0,1.0,0.0,1.0,0.0
2009,0.0,2.0,26.0,1.0,3.0,0.0,0.0
2010,5.0,4.0,48.0,0.0,4.0,0.0,0.0
2011,1.0,6.0,39.0,4.0,8.0,1.0,0.0
2012,1.0,4.0,48.0,3.0,9.0,1.0,0.0
2013,0.0,7.0,100.0,10.0,10.0,7.0,8.0
2014,5.0,16.0,160.0,28.0,17.0,10.0,32.0
2015,9.0,27.0,259.0,35.0,33.0,18.0,45.0
2016,13.0,29.0,349.0,45.0,48.0,14.0,36.0
2017,28.0,55.0,396.0,47.0,79.0,26.0,51.0
2018,31.0,71.0,569.0,83.0,81.0,53.0,72.0
2019,12.0,65.0,524.0,71.0,71.0,27.0,43.0
2020,18.0,78.0,569.0,73.0,68.0,35.0,49.0
2021,27.0,75.0,542.0,101.0,100.0,50.0,40.0
2022,6.0,33.0,188.0,39.0,36.0,16.0,15.0
