,0
open-source_found,112271
statistical_found,71267
software_found,60890
computer_found,51432
quantitative_found,48299
simulation_found,45115
modelling_found,43986
database_found,43553
algorithm_found,38986
modeling_found,34613
computing_found,33704
computational_found,30128
computed_found,29774
simulated_found,26799
computation_found,21277
graphics_found,13707
visualization_found,11453
visualisation_found,5976
matlab_found,5921
github_found,4968
stata_found,4708
nvivo_found,4179
python_found,3999
workflow_found,3536
spss_found,3415
imagej_found,2739
gis_found,1244
supercomputing_found,1218
supercomputer_found,1011
fortran_found,622
scipy_found,544
git_found,469
ggplot2_found,445
hpc_found,444
numpy_found,371
matplotlib_found,351
Rcpp_found,22
stringr_found,22
plyr_found,19
RColorBrewer_found,15
reshape2_found,14
beautifulsoup_found,5
scrapy_found,4
sqlalchemy_found,3
wxpython_found,2
