Repository,software,program,computational,HPC,simulation,modelling,visualisation,Python,Matlab,Excel,github
publications.aston.ac.uk,979,771,541,0,751,660,80,17,103,84,9
eprints.cardiff.ac.uk,4966,4416,2412,16,3039,3132,406,200,311,536,193
create.canterbury.ac.uk,176,243,17,6,59,112,22,2,3,26,2
centaur.reading.ac.uk,0,0,0,0,0,0,0,0,0,0,0
clok.uclan.ac.uk,1254,1140,386,26,700,735,117,42,81,195,42
openaccess.city.ac.uk,2375,2319,1560,17,1664,1763,292,61,392,239,50
eprints.soton.ac.uk,8758,7617,6047,20,8981,7375,904,403,837,769,261
www.e-space.mmu.ac.uk,0,0,0,0,0,0,0,0,0,0,0
repository.edgehill.ac.uk,0,0,0,0,0,0,0,0,0,0,0
repository.falmouth.ac.uk,104,77,44,0,42,35,18,7,2,8,12
irep.ntu.ac.uk,1340,1139,405,9,555,748,111,28,111,161,15
eprints.keele.ac.uk,942,893,224,11,480,636,74,53,45,108,47
kar.kent.ac.uk,0,2545,1262,5,0,0,222,137,151,207,116
eprints.kingston.ac.uk,680,624,253,1,313,433,64,16,34,112,10
eprints.lancs.ac.uk,0,0,0,0,0,0,0,0,0,0,0
researchonline.ljmu.ac.uk,1833,1561,675,121,1170,1140,184,192,217,204,98
eprints.mdx.ac.uk,539,555,174,2,251,327,59,19,12,75,8
researchonline.ljmu.ac.uk,1833,1561,675,121,1170,1140,184,192,217,204,98
eprints.nottingham.ac.uk,4623,3620,2221,15,3066,3261,444,199,453,529,178
ray.yorksj.ac.uk,69,101,21,0,35,61,9,0,4,14,2
researchspace.bathspa.ac.uk,119,127,31,1,35,74,12,1,1,24,3
roar.uel.ac.uk,533,490,166,0,194,327,49,19,30,42,1
shura.shu.ac.uk,1022,855,314,15,495,591,149,17,97,149,15
sure.sunderland.ac.uk,189,147,51,2,91,105,19,5,10,19,7
epubs.surrey.ac.uk,4114,3486,2711,46,4245,3358,417,119,651,394,198
sro.sussex.ac.uk,2751,3044,1397,53,2446,1876,174,157,319,288,153
uir.ulster.ac.uk,1048,887,443,1,531,598,94,15,81,112,41
epapers.bham.ac.uk,0,0,0,0,0,0,0,0,0,0,0
ueaeprints.uea.ac.uk,0,0,0,0,0,0,0,0,0,0,0
eprints.glos.ac.uk,241,261,23,1,92,156,21,3,8,59,2
eprints.hud.ac.uk,1125,852,377,30,717,812,122,35,127,118,31
eprints.lincoln.ac.uk,2026,1852,1035,0,1337,1209,194,57,249,248,46
usir.salford.ac.uk,2158,1686,726,7,1213,1424,259,35,141,351,57
strathprints.strath.ac.uk,3781,3340,2858,0,0,3583,398,87,544,389,66
eprints.worc.ac.uk,342,301,48,5,146,213,39,4,8,82,15
repository.uwl.ac.uk,0,0,0,0,0,0,0,0,0,0,0
wrap.warwick.ac.uk,3692,3357,2209,8,3465,3023,314,161,334,362,142
eprints.whiterose.ac.uk,13565,12013,6199,24,10234,11221,1237,656,975,1457,840
