year,artefacts,,,
2000,1188,http://orca.cf.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&id_number=&id_number_match=EX&eprintid=&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=,&keywords_merge=ALL&keywords=&subjects_merge=ANY&type=article&type=conference_item&divisions_merge=ANY&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle,http://orca.cf.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&id_number=&id_number_match=EX&eprintid=&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2000&keywords_merge=ALL&keywords=&subjects_merge=ANY&type=article&type=conference_item&divisions_merge=ANY&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2001,1975,,,http://orca.cf.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&id_number=&id_number_match=EX&eprintid=&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2001&keywords_merge=ALL&keywords=&subjects_merge=ANY&type=article&type=conference_item&divisions_merge=ANY&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2002,2082,,,http://orca.cf.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&id_number=&id_number_match=EX&eprintid=&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2002&keywords_merge=ALL&keywords=&subjects_merge=ANY&type=article&type=conference_item&divisions_merge=ANY&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2003,2379,,,http://orca.cf.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&id_number=&id_number_match=EX&eprintid=&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2003&keywords_merge=ALL&keywords=&subjects_merge=ANY&type=article&type=conference_item&divisions_merge=ANY&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2004,2550,,,http://orca.cf.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&id_number=&id_number_match=EX&eprintid=&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2004&keywords_merge=ALL&keywords=&subjects_merge=ANY&type=article&type=conference_item&divisions_merge=ANY&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2005,2652,,,http://orca.cf.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&id_number=&id_number_match=EX&eprintid=&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2005&keywords_merge=ALL&keywords=&subjects_merge=ANY&type=article&type=conference_item&divisions_merge=ANY&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2006,2968,,,http://orca.cf.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&id_number=&id_number_match=EX&eprintid=&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2006&keywords_merge=ALL&keywords=&subjects_merge=ANY&type=article&type=conference_item&divisions_merge=ANY&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2007,3260,,,http://orca.cf.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&id_number=&id_number_match=EX&eprintid=&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2007&keywords_merge=ALL&keywords=&subjects_merge=ANY&type=article&type=conference_item&divisions_merge=ANY&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2008,4072,,,http://orca.cf.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&id_number=&id_number_match=EX&eprintid=&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2008&keywords_merge=ALL&keywords=&subjects_merge=ANY&type=article&type=conference_item&divisions_merge=ANY&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2009,4073,,,http://orca.cf.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&id_number=&id_number_match=EX&eprintid=&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2009&keywords_merge=ALL&keywords=&subjects_merge=ANY&type=article&type=conference_item&divisions_merge=ANY&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2010,4375,,,http://orca.cf.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&id_number=&id_number_match=EX&eprintid=&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2010&keywords_merge=ALL&keywords=&subjects_merge=ANY&type=article&type=conference_item&divisions_merge=ANY&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2011,4102,,,http://orca.cf.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&id_number=&id_number_match=EX&eprintid=&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2011&keywords_merge=ALL&keywords=&subjects_merge=ANY&type=article&type=conference_item&divisions_merge=ANY&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2012,4062,,,http://orca.cf.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&id_number=&id_number_match=EX&eprintid=&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2012&keywords_merge=ALL&keywords=&subjects_merge=ANY&type=article&type=conference_item&divisions_merge=ANY&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2013,4150,,,http://orca.cf.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&id_number=&id_number_match=EX&eprintid=&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2013&keywords_merge=ALL&keywords=&subjects_merge=ANY&type=article&type=conference_item&divisions_merge=ANY&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2014,4214,,,http://orca.cf.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&id_number=&id_number_match=EX&eprintid=&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2014&keywords_merge=ALL&keywords=&subjects_merge=ANY&type=article&type=conference_item&divisions_merge=ANY&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2015,4101,,,http://orca.cf.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&id_number=&id_number_match=EX&eprintid=&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2015&keywords_merge=ALL&keywords=&subjects_merge=ANY&type=article&type=conference_item&divisions_merge=ANY&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2016,4488,,,http://orca.cf.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&id_number=&id_number_match=EX&eprintid=&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2016&keywords_merge=ALL&keywords=&subjects_merge=ANY&type=article&type=conference_item&divisions_merge=ANY&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2017,4405,,,http://orca.cf.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&id_number=&id_number_match=EX&eprintid=&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2017&keywords_merge=ALL&keywords=&subjects_merge=ANY&type=article&type=conference_item&divisions_merge=ANY&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
