year,artefacts,,,
2000,129,http://publications.aston.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=,&keywords_merge=ALL&keywords=&type=article&type=conference_item&department_merge=ALL&department=&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&creators_id_merge=ALL&creators_id=&divisions_merge=ANY&has_full_text=EITHER&publisher_merge=ALL&publisher=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle,http://publications.aston.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2000&keywords_merge=ALL&keywords=&type=article&type=conference_item&department_merge=ALL&department=&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&creators_id_merge=ALL&creators_id=&divisions_merge=ANY&has_full_text=EITHER&publisher_merge=ALL&publisher=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2001,175,,,http://publications.aston.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2001&keywords_merge=ALL&keywords=&type=article&type=conference_item&department_merge=ALL&department=&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&creators_id_merge=ALL&creators_id=&divisions_merge=ANY&has_full_text=EITHER&publisher_merge=ALL&publisher=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2002,236,,,http://publications.aston.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2002&keywords_merge=ALL&keywords=&type=article&type=conference_item&department_merge=ALL&department=&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&creators_id_merge=ALL&creators_id=&divisions_merge=ANY&has_full_text=EITHER&publisher_merge=ALL&publisher=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2003,268,,,http://publications.aston.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2003&keywords_merge=ALL&keywords=&type=article&type=conference_item&department_merge=ALL&department=&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&creators_id_merge=ALL&creators_id=&divisions_merge=ANY&has_full_text=EITHER&publisher_merge=ALL&publisher=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2004,298,,,http://publications.aston.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2004&keywords_merge=ALL&keywords=&type=article&type=conference_item&department_merge=ALL&department=&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&creators_id_merge=ALL&creators_id=&divisions_merge=ANY&has_full_text=EITHER&publisher_merge=ALL&publisher=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2005,291,,,http://publications.aston.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2005&keywords_merge=ALL&keywords=&type=article&type=conference_item&department_merge=ALL&department=&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&creators_id_merge=ALL&creators_id=&divisions_merge=ANY&has_full_text=EITHER&publisher_merge=ALL&publisher=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2006,353,,,http://publications.aston.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2006&keywords_merge=ALL&keywords=&type=article&type=conference_item&department_merge=ALL&department=&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&creators_id_merge=ALL&creators_id=&divisions_merge=ANY&has_full_text=EITHER&publisher_merge=ALL&publisher=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2007,451,,,http://publications.aston.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2007&keywords_merge=ALL&keywords=&type=article&type=conference_item&department_merge=ALL&department=&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&creators_id_merge=ALL&creators_id=&divisions_merge=ANY&has_full_text=EITHER&publisher_merge=ALL&publisher=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2008,399,,,http://publications.aston.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2008&keywords_merge=ALL&keywords=&type=article&type=conference_item&department_merge=ALL&department=&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&creators_id_merge=ALL&creators_id=&divisions_merge=ANY&has_full_text=EITHER&publisher_merge=ALL&publisher=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2009,495,,,http://publications.aston.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2009&keywords_merge=ALL&keywords=&type=article&type=conference_item&department_merge=ALL&department=&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&creators_id_merge=ALL&creators_id=&divisions_merge=ANY&has_full_text=EITHER&publisher_merge=ALL&publisher=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
