year,artefacts,,,
2000,502,https://uir.ulster.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=,&keywords_merge=ALL&keywords=&divisions_merge=ANY&type=article&type=conference_item&refereed=EITHER&publication%2Fseries_name_merge=ALL&publication%2Fseries_name=&documents.date_embargo=&lastmod=&pure_uuid=&contributors_id=&satisfyall=ALL&order=contributors_name%2F-date%2Ftitle,https://uir.ulster.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2000&keywords_merge=ALL&keywords=&divisions_merge=ANY&type=article&type=conference_item&refereed=EITHER&publication%2Fseries_name_merge=ALL&publication%2Fseries_name=&documents.date_embargo=&lastmod=&pure_uuid=&contributors_id=&satisfyall=ALL&order=contributors_name%2F-date%2Ftitle
2001,532,,,https://uir.ulster.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2001&keywords_merge=ALL&keywords=&divisions_merge=ANY&type=article&type=conference_item&refereed=EITHER&publication%2Fseries_name_merge=ALL&publication%2Fseries_name=&documents.date_embargo=&lastmod=&pure_uuid=&contributors_id=&satisfyall=ALL&order=contributors_name%2F-date%2Ftitle
2002,558,,,https://uir.ulster.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2002&keywords_merge=ALL&keywords=&divisions_merge=ANY&type=article&type=conference_item&refereed=EITHER&publication%2Fseries_name_merge=ALL&publication%2Fseries_name=&documents.date_embargo=&lastmod=&pure_uuid=&contributors_id=&satisfyall=ALL&order=contributors_name%2F-date%2Ftitle
2003,607,,,https://uir.ulster.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2003&keywords_merge=ALL&keywords=&divisions_merge=ANY&type=article&type=conference_item&refereed=EITHER&publication%2Fseries_name_merge=ALL&publication%2Fseries_name=&documents.date_embargo=&lastmod=&pure_uuid=&contributors_id=&satisfyall=ALL&order=contributors_name%2F-date%2Ftitle
2004,706,,,https://uir.ulster.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2004&keywords_merge=ALL&keywords=&divisions_merge=ANY&type=article&type=conference_item&refereed=EITHER&publication%2Fseries_name_merge=ALL&publication%2Fseries_name=&documents.date_embargo=&lastmod=&pure_uuid=&contributors_id=&satisfyall=ALL&order=contributors_name%2F-date%2Ftitle
2005,693,,,https://uir.ulster.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2005&keywords_merge=ALL&keywords=&divisions_merge=ANY&type=article&type=conference_item&refereed=EITHER&publication%2Fseries_name_merge=ALL&publication%2Fseries_name=&documents.date_embargo=&lastmod=&pure_uuid=&contributors_id=&satisfyall=ALL&order=contributors_name%2F-date%2Ftitle
2006,794,,,https://uir.ulster.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2006&keywords_merge=ALL&keywords=&divisions_merge=ANY&type=article&type=conference_item&refereed=EITHER&publication%2Fseries_name_merge=ALL&publication%2Fseries_name=&documents.date_embargo=&lastmod=&pure_uuid=&contributors_id=&satisfyall=ALL&order=contributors_name%2F-date%2Ftitle
2007,988,,,https://uir.ulster.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2007&keywords_merge=ALL&keywords=&divisions_merge=ANY&type=article&type=conference_item&refereed=EITHER&publication%2Fseries_name_merge=ALL&publication%2Fseries_name=&documents.date_embargo=&lastmod=&pure_uuid=&contributors_id=&satisfyall=ALL&order=contributors_name%2F-date%2Ftitle
2008,1100,,,https://uir.ulster.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2008&keywords_merge=ALL&keywords=&divisions_merge=ANY&type=article&type=conference_item&refereed=EITHER&publication%2Fseries_name_merge=ALL&publication%2Fseries_name=&documents.date_embargo=&lastmod=&pure_uuid=&contributors_id=&satisfyall=ALL&order=contributors_name%2F-date%2Ftitle
2009,1191,,,https://uir.ulster.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2009&keywords_merge=ALL&keywords=&divisions_merge=ANY&type=article&type=conference_item&refereed=EITHER&publication%2Fseries_name_merge=ALL&publication%2Fseries_name=&documents.date_embargo=&lastmod=&pure_uuid=&contributors_id=&satisfyall=ALL&order=contributors_name%2F-date%2Ftitle
